Sentence	VocabSize	Tokens
Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.	32768	40
Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.	32768	40
The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled "Bush's New Orleans Deal."	32768	37
Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.	32768	22
Over four million people went to Rome to attend the funeral.	32768	13
The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.	32768	28
Several large television screens were installed in various places in Rome to let the people watch the ceremony.	32768	21
In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.	32768	34
Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.	32768	36
Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.	32768	26
Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.	32768	30
Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.	32768	29
But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.	32768	27
U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.	32768	27
He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.	32768	32
After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.	32768	23
Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.	32768	50
Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a "thorough and complete rewriting" of the Conservative party's environmental bill.	32768	42
Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.	32768	56
But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.	32768	40
According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.	32768	33
No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.	32768	35
Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.	32768	23
U.S. President George W. Bush welcomed the announcement.	32768	13
Bush spokesman Gordon Johndroe called North Korea's pledge "a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."	32768	30
The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.	32768	23
The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land.	32768	20
The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.	32768	23
The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.	32768	34
Water is spilling over the levee in a section 100 feet wide.	32768	15
Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.	32768	24
"He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion."	32768	43
The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.	32768	28
The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.	32768	25
The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter.	32768	29
Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.	32768	33
The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.	32768	22
This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.	32768	31
Television reports show white smoke coming from the plant.	32768	12
Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.	32768	30
According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.	32768	22
Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.	32768	25
Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.	32768	34
In an interview, he said the new variant was "very highly troubling and alarming because of the very high fatality rate."	32768	25
Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.	32768	26
In one year's time, an infected person may infect 10 to 15 close contacts.	32768	18
However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.	32768	44
The satellites, both of which weighed in excess of 1,000 pounds, and traveling at approximately 17,500 miles per hour, collided 491 miles above the Earth.	32768	35
Scientists say the explosion caused by the collision was massive.	32768	13
They are still trying to determine just how large the crash was and how the Earth will be affected.	32768	20
The United States Strategic Command of the U.S. Department of Defense office is tracking the debris.	32768	20
The result of plotting analysis will be posted to a public website.	32768	14
A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.	32768	39
Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.	32768	56
She directed officers to her black Oldsmobile Intrigue which was 500 feet away.	32768	18
There, they found the body of Saroja Balasubramanian, 53, covered with blood-stained blankets.	32768	27
Police said that the body appeared to have been there for about a day.	32768	16
The first cases of the disease this season were reported in late July.	32768	14
The disease is carried by pigs, which then migrates to humans through mosquitos.	32768	19
The outbreak has prompted the Indian government to undertake such measures as deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides.	32768	32
Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.	32768	32
Plans for vaccines to be delivered to the historically most affected areas this year were delayed due to lack of funds and low prioritisation relative to other diseases.	32768	32
In 1956 Słania moved to Sweden, where three years later he began work for the Swedish Post Office and became their chief engraver.	32768	30
He produced over 1,000 stamps for Sweden and 28 other countries.	32768	14
His work is of such recognized quality and detail that he is one of the very few "household names" among philatelists. Some specialize in collecting his work alone.	32768	37
His 1,000th stamp was the magnificent "Great Deeds by Swedish Kings" by David Klöcker Ehrenstrahl in 2000, which is listed in the Guinness Book of World Records.	32768	46
He was also engaged in engraving banknotes for many countries, recent examples of his work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.	32768	40
After the accident occurred, Gibson was transported to a hospital but died shortly afterwards.	32768	18
The truck driver, who is aged 64, was not injured in the crash.	32768	16
The vehicle itself was taken away from the scene of the accident at approximately 1200 GMT on the same day.	32768	23
A person working in a garage near where the accident occurred said: "There were children waiting to cross the road and they were all screaming and crying."	32768	30
They all ran back from where the accident had happened.	32768	11
Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.	32768	31
The U.N. also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.	32768	24
The money could go toward flood-proof houses, better water management, and crop diversification.	32768	18
Fluke wrote that the efforts by some to drown out women from speaking out about women’s health were unsuccessful.	32768	24
She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.	32768	33
When the fighting ceased after the wounded were transported to the hospital, about 40 of the other remaining inmates stayed in the yard and refused to return to their cells.	32768	32
Negotiators tried to rectify the situation, but the prisoners' demands are not clear.	32768	18
Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.	32768	26
Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.	32768	20
Fire rescue crews eventually doused the fire by 11:35 pm.	32768	17
After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.	32768	22
This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.	32768	18
As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.	32768	27
Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.	32768	30
No tsunami warning has been issued, and according to the Jakarta geophysics agency, no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement.	32768	38
Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.	32768	22
Although Winfrey was tearful in her farewell, she made it clear to her fans she will be back.	32768	24
"This is not going to be goodbye. This is the closing of one chapter and the opening of a new one."	32768	24
Final results from Namibian presidential and parliamentary elections have indicated that the incumbent president, Hifikepunye Pohamba, has been reelected by a large margin.	32768	35
The ruling party, South West Africa People's Organisation (SWAPO), also retained a majority in the parliamentary elections.	32768	24
Coalition and Afghan troops moved into the area to secure the site and other coalition aircraft have been sent to assist.	32768	23
The crash occurred high up in mountainous terrain, and is believed to have been the result of hostile fire.	32768	21
Efforts to search for the crash site are being met by bad weather and harsh terrain.	32768	19
The medical charity Mangola, Medecines Sans Frontieres and the World Health Organisation say it is the worst outbreak recorded in the country.	32768	31
Spokesman for Medecines Sans Frontiere Richard Veerman said: "Angola is heading for its worst ever outbreak and the situation remains very bad in Angola," he said.	32768	38
The games kicked off at 10:00am with great weather and apart from mid morning drizzle which quickly cleared up, it was a perfect day for 7's rugby.	32768	36
Tournament top seeds South Africa started on the right note when they had a comfortable 26 - 00 win against 5th seeded Zambia.	32768	27
Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.	32768	24
Their disciplined defence, ball handling skills and excellent team work made them stand out and it was clear that this was the team to beat.	32768	28
Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.	32768	42
It had been scheduled to be cut down on Tuesday, but was saved after an emergency court ruling.	32768	20
All of the cave entrances, which were named "The Seven Sisters", are at least 100 to 250 meters (328 to 820 feet) in diameter.	32768	32
Infrared images show that the temperature variations from night and day show that they are likely caves.	32768	21
"They are cooler than the surrounding surface in the day and warmer at night.	32768	16
Their thermal behavior is not as steady as large caves on Earth that often maintain a fairly constant temperature, but it is consistent with these being deep holes in the ground," said Glen Cushing of the United States Geological Survey (USGS) Astrogeology Team and of Northern Arizona University located in Flagstaff, Arizona.	32768	68
In France, voting has traditionally been a low-tech experience: voters isolate themselves in a booth, put a pre-printed sheet of paper indicating their candidate of choice into an envelope.	32768	38
After officials verify the voter's identity, the voter drops the envelope into the ballot box and signs the voting roll.	32768	24
French electoral law rather strictly codifies the proceedings.	32768	10
Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.	32768	45
Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.	32768	32
ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.	32768	32
But the consumer market on laptop computer will be radically varied and changed after ASUS was awarded in the 2007 Taiwan Sustainable Award by Executive Yuan of the Republic of China.	32768	34
The station's web site describes the show as "old school radio theater with a new and outrageous geeky spin!"	32768	24
In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.	32768	31
In late 2015, TogiNet established AstroNet Radio as a subsidiary station.	32768	17
The show originally featured amateur voice actors, local to East Texas.	32768	13
Widespread looting reportedly continued overnight, as law enforcement officers were not present on Bishkek's streets.	32768	19
Bishkek was described as sinking into a state of "anarchy" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.	32768	36
Several Bishkek residents blamed protesters from the south for the lawlessness.	32768	15
South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Bafokeng Stadium in Rustenburg, South Africa.	32768	37
The final score was a one-point victory, 21 to 20, ending the All Blacks' 15 game winning streak.	32768	26
For the Springboks, it ended a five-match losing streak.	32768	18
It was the final match for the All Blacks, who had already won the trophy two weeks ago.	32768	21
The final match of the series will take place at Ellis Park in Johannesburg next week, when the Springboks play Australia.	32768	27
A moderate earthquake shook western Montana at 10:08 p.m. on Monday.	32768	18
No immediate reports of damage have been received by the United States Geological Survey (USGS) and its National Earthquake Information Center.	32768	27
The earthquake was centered about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte.	32768	35
The strain of bird flu lethal to humans, H5N1, has been confirmed to have infected a dead wild duck, found on Monday, in marshland near Lyon in the east of France.	32768	41
France is the seventh country in the European Union to suffer this virus; following Austria, Germany, Slovenia, Bulgaria, Greece and Italy.	32768	27
Suspected cases of H5N1 in Croatia and Denmark remain unconfirmed.	32768	18
Chambers had sued God for "widespread death, destruction and terrorization of millions upon millions of the Earth's inhabitants."	32768	26
Chambers, an agnostic, argues that his lawsuit is "frivolous" and "anybody can sue anybody."	32768	29
The story presented in the French opera, by Camille Saint-Saens, is of an artist "whose life is dictated by a love for drugs and Japan."	32768	34
As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.	32768	26
Former House Speaker Newt Gingrich, Texas governor Rick Perry, and Congresswoman Michele Bachmann finished in fourth, fifth, and sixth place, respectively.	32768	38
After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.	32768	39
Perry stated that he would "return to Texas to assess the results of tonight's caucus, determine whether there is a path forward for myself in this race", but later said that he would remain in the race and compete in the January 21 South Carolina primary.	32768	53
Bachmann, who won the Ames Straw Poll in August, decided to end her campaign.	32768	21
The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.	32768	19
He was reportedly aged in his 20s. In a statement, Bieber said "[w]hile I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim."	32768	47
Entertainment news website TMZ understands the photographer stopped his vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop before crossing the road and continuing, prompting the California Highway Patrol police officer conducting the traffic stop to order him back across, twice.	32768	63
According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.	32768	21
With only eighteen medals available a day, a number of countries have failed to make the medal podium.	32768	21
They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.	32768	41
Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.	32768	36
Arly Velasquez of Mexico finished fifteenth in the men's sitting Super-G. New Zealand's Adam Hall finished ninth in the men's standing Super-G.	32768	34
Poland's men's visually impaired skier Maciej Krezel and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Jong Seork Park finished twenty-fourth in the men's sitting Super-G.	32768	51
UN peacekeepers, whom arrived in Haiti after the 2010 earthquake, are being blamed for the spread of the disease which started near the troop's encampment.	32768	31
According to the lawsuit, waste from the UN camp was not properly sanitized, causing bacteria to enter the tributary of the Artibonite River, one of Haiti's largest.	32768	39
Prior to the arrival of troops, Haiti had not encountered problems related to the disease since the 1800s.	32768	23
The Haitian Institute for Justice and Democracy has referenced independent studies that suggest the Nepalese UN peacekeeping battalion unknowingly brought the disease to Haiti.	32768	27
Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.	32768	24
Hamilton confirmed Howard University Hospital admitted the patient in stable condition.	32768	14
The patient had been to Nigeria, where some cases of the Ebola virus have occurred.	32768	17
The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.	32768	22
Before The Simpsons Simon had worked on several shows in various positions.	32768	16
During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.	32768	26
In 1989 he helped create The Simpsons with Brooks and Groening, and was responsible for hiring the show's first writing team.	32768	28
Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.	32768	30
Earlier the Chinese news agency Xinhua reported a plane to be hijacked.	32768	18
Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.	32768	22
The early reports say the plane was diverted back to Afghanistan after being denied an emergency landing in Ürümqi.	32768	25
Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and military operations.	32768	24
International sanctions have meant that new aircraft cannot be purchased.	32768	11
Earlier this week, a police helicopter crash killed three people and wounded three more.	32768	18
Last month Iran saw its worst air disaster in years when an airliner heading to Armenia crashed, killing the 168 on board.	32768	26
The same month saw another airliner overrun a runway at Mashhad and strike a wall, killing seventeen.	32768	22
Aerosmith have cancelled their remaining concerts on their tour.	32768	14
The rock band was due to tour the United States and Canada until September 16.	32768	16
They have cancelled the tour after lead singer Steven Tyler was injured after he fell off stage while performing on August 5.	32768	23
Murray lost the first set in a tie break after both men held each and every serve in the set.	32768	23
Del Potro had the early advantage in the second set, but this too required a tie break after reaching 6-6.	32768	26
Potro received treatment to his shoulder at this point but managed to return to the game.	32768	19
The program started at 8:30 p.m. local time (15.00 UTC).	32768	20
Famous singers across the country presented bhajans, or devotional songs, to Shri Shyam's feet.	32768	27
Singer Sanju Sharma started the evening, followed by Jai Shankar Choudhary. esented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	32768	51
Then, Lakkha Singh took the lead in singing the bhajans.	32768	18
108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam.	32768	48
Lakkha Singh presented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	32768	34
At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.	32768	41
Resembling a television remote, the controller uses two sensors placed near the user's television to triangulate its position in three-dimensional space.	32768	30
This will allow players to control actions and movements in video games by moving the device through the air.	32768	20
Giancarlo Fisichella lost control of his car and ended the race very soon after the start.	32768	23
His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel.	32768	37
Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.	32768	28
"She’s very cute and sings quite well, too," he said according to a transcript of the news conference.	32768	25
"I was moved every time we did a rehearsal on this, from the bottom of my heart."	32768	20
Around 3 minutes into the launch, an on-board camera showed numerous pieces of insulation foam break away from the fuel tank.	32768	27
However, they are not thought to have caused any damage to the shuttle.	32768	16
NASA's shuttle program chief N. Wayne Hale Jr. said the foam had fallen "after the time we are concerned about."	32768	27
Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.	32768	66
I lost my sister and her friend, and on my way there were two disabled people in wheelchairs, people just jumping over and pushing them," Armand Versace said.	32768	36
NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.	32768	28
Hokuriku Electric Power Co. reported no effects from the earthquake and that the Number 1 and 2 reactors at its Shika nuclear power plant were shut down.	32768	34
It is reported that some 9400 homes in the region are without water and approximately 100 without electricity.	32768	20
Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.	32768	29
One bomb exploded outside the governor general's office.	32768	10
Three more bombs exploded near government buildings in a period of two hours.	32768	15
Some reports put the official death toll at eight, and official reports confirm that up to 30 were injured; but final numbers are not yet known.	32768	29
Both cyanuric acid and melamine were found in urine samples from pets that died after consuming contaminated pet food.	32768	27
The two compounds react with one another to form crystals that may block kidney function, researchers at the university said.	32768	23
The researchers observed crystals formed in cat urine by the addition of melamine and cyanuric acid.	32768	23
The composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy (FTIR).	32768	29
I don't know if you realize it or not, but most of the goods from Central America came into this country duty-free.	32768	27
Yet eighty percent of our goods were taxed through tariffs in Central American countries. we treat you.	32768	21
That didn't seem to make sense to me; it certainly wasn't fair.	32768	16
All I say to people is you treat us the way we treat you.	32768	15
California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors.	32768	30
The bill requires violent video games sold in the state of California to be labeled with a decal reading "18" and makes their sale to a minor punishable by a fine of $1000 per offense.	32768	42
The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.	32768	31
Huhne has resigned and he will be replaced in the Cabinet by Ed Davey MP. Norman Lamb MP is expected to take the Business Minister job Davey is vacating.	32768	36
Huhne and Pryce are scheduled to appear at the Westminster Magistrates Court on February 16.	32768	22
The fatalities were Nicholas Alden, 25, and Zachary Cuddeback, 21. Cuddeback had been the driver.	32768	28
Edgar Veguilla received arm and jaw wounds while Kristoffer Schneider was left requiring reconstructive surgery for his face.	32768	28
Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.	32768	40
Schneider testified via videolink from a USAF base in his homeland.	32768	17
Beyond Wednesday's event, Carpanedo competed in two individual races at the Championships.	32768	20
Her first was the Slalom, where she earned a Did Not Finish in her first run. 36 of the 116 competitors had the same result in that race.	32768	34
Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary.	32768	75
Four skiers in the women's sitting group failed to finish their runs, and 45 of the 117 total skiers in the Giant Slalom failed to rank in the race.	32768	38
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.	32768	15
Deputy Inspector General D K Arya said, "We have arrested five persons who raped the Swiss woman and recovered her mobile and laptop".	32768	29
The accused are named as Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar.	32768	33
Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.	32768	23
Although three people were inside the house when the car impacted it, none of them were hurt.	32768	20
However, the driver sustained serious injuries to the head.	32768	12
The road where the crash happened was temporarily closed while emergency services freed the driver from the red Audi TT.	32768	23
