Sentence	Tokens
Канцелярия губернатора сообщила, что 19 из раненных были офицерами полиции.	83
Полиция заявила, что в совершении нападения подозревается предполагаемый боевик ДАИШ (ИГИЛ).	105
Они обнаружили, что Солнце работает по тем же основным принципам, что и другие звёзды: было установлено, что активность всех звёзд в системе определяется их яркостью, вращением и ничем другим.	214
Совокупность светимости и вращения используется для определения числа Россби звезды, связанного с потоком плазмы.	124
Чем меньше число Россби, тем менее активна звезда по отношению к инверсиям магнитного поля.	99
Ивасаки часто попадал в неприятные ситуации во время путешествия.	70
Он был ограблен пиратами, атакован бешеной собакой в Тибете, избежал свадьбы в Непале и был арестован в Индии.	120
Стандарт 802.11n работает на обоих частотах – 2.4 ГГц и 5.0 ГГц.	67
Это обеспечит его обратную совместимость с 802.11a, 802.11b и 802.11g при условии, что у базовой станции есть двойной приемник.	125
Скорости 802.11n значительно быстрее, чем у его предшественников с максимальной теоретической пропускной способностью в 600 Мбит/с.	133
Дюваль, который женат и имеет двух совершеннолетних детей, не произвел большого впечатления на Миллера, которому рассказали эту историю.	150
Когда у Миллера попросили комментарий, он сказал: "Майк много говорит во время слушаний... Я готовился, поэтому особо не слушал, что он говорил".	151
"Мы будем предпринимать усилия с целью значительного сокращения выбросов углекислого газа на единицу ВВП к 2020 году по сравнению с уровнем 2005 года", — сказал Ху.	168
Он не назвал цифру для сокращений бюджетов, сказав, что они будут сделаны исходя из производительности экономики Китая.	133
Ху призывал развивающиеся страны "избегать старой схемы, в которой сначала загрязняют, а потом очищают".	118
Он добавил, что "их, однако, не следует просить брать на себя обязательства, которые выходят за рамки их стадии разработки, ответственности и возможностей".	165
Сегодня в 12:00 по Гринвичу группа по изучению Ирака представила свой доклад.	82
Он предупреждает: "Никто не может гарантировать, что какой-либо план действий в Ираке в текущей ситуации сможет остановить религиозную войну, растущее насилие или надвигающийся хаос".	200
Доклад открывается призывом к проведению открытых обсуждений и формированию консенсуса в Соединённых Штатах насчёт политики в отношении Ближнего Востока.	170
В докладе содержится резкая критика почти каждого аспекта нынешней политики исполнительной власти в отношении Ирака и настоятельный призыв к незамедлительной смене курса.	183
Первой среди 78 рекомендаций является то, что следует реализовать новую дипломатическую инициативу до конца этого года для укрепления иракских границ, чтобы не допустить враждебного вмешательства, а также для возобновления дипломатических отношений с соседями.	283
Нынешняя сенатор и Первая леди Аргентины Кристина Фернандес де Киршнер анонсировала выдвижение своей кандидатуры на пост президента вчера вечером в Ла-Плате, городе в 50 километрах (31 милях) от Буэнос-Айреса.	220
Г-жа Киршнер объявила о своём намерении баллотироваться на пост президента в Аргентинском театре, в том же месте, где она начала свою предвыборную кампанию в Сенат в 2005 году в качестве члена делегации провинции Буэнос-Айрес.	244
Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали "новоорлеанской сделкой Буша".	236
Либеральная критика усилий по восстановлению сосредоточивалась на том, что контракты на восстановительные работы отдавались предположительно имеющим связи с правительством.	183
Более четырёх миллионов человек отправились в Рим, чтобы посетить похороны.	83
Количество присутствующих было настолько велико, что не все смогли попасть на площадь Святого Петра, где проходили похороны.	133
В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.	140
Подобные площадки, которые посетило большое количество людей, были организованы во многих других городах Италии и в остальном мире, в частности в Польше.	167
Историки критикуют прошлую политику ФБР за то, что выделяла большую часть ресурсов на дела, которые легко раскрываются, особенно на дела об угоне автомобилей, с целью повышения уровня успешности работы агентства.	234
Конгресс начал финансировать инициативу по борьбе с развратом в 2005 налоговом году и определил, что ФБР должно выделить 10 агентов на борьбу со взрослой порнографией.	178
Робин Утхаппа  набрал рекордное количество очков в иннинге: 70 ранов за всего 41 подачу, отбил 11 четвёрок и 2 шестёрки.	128
Отбивающие мячи среднего звена Сачин Тендулкар и Рахул Дравид хорошо выступили и заработали в тандеме результат в сто баллов.	138
Однако после потери калитки капитана Индия совершила лишь 36 пробегов, потеряв 7 калиток для завершения иннингсов.	118
Президент США Джордж Буш прибыл в Сингапур утром 16 ноября, начав свой недельный тур по Азии.	105
Его приветствовал заместитель премьер-министра Сингапура Вонг Кан Сенг. Затем он обсудил вопросы торговли и терроризма с премьер-министром Сингапура Ли Сянь Луном.	174
Спустя неделю после поражений на промежуточных выборах, Буш сообщил публике о расширении торговли с Азией.	123
Премьер-министр Стивен Харпер согласился отослать "Закон о чистом воздухе" на рассмотрение общепартийного комитета до второго чтения. Этому предшествовала 25-минутная встреча с лидером НДП Джеком Лейтоном в ОУП во вторник.	237
На встрече с премьер-министром Лейтон попросил внести изменения и "полностью переписать" экологический законопроект Консервативной партии.	147
С тех пор, как федеральное правительство вмешалось и взяло на себя финансирование госпиталя Мерси в Девонпарте (Тасмания), правительство штата и некоторые члены федерального парламента критиковали эту акцию как уловку в преддверии федеральных выборов, которые должны пройти в ноябре.	302
Но премьер-министр Джон Ховард заявил, что это было сделано лишь для защиты больницы от снижения финансирования правительством Тасмании с помощью выделения дополнительных 45 миллионов австралийских долларов.	219
Согласно последней сводке, данные наблюдений за уровнем моря указывали на приближение цунами. Явная сейсмическая активность была зарегистрирована возле Паго-Паго и Ниуэ.	185
Из Тонга не поступило сообщений о серьезных разрушениях или о пострадавших, но произошло временное отключение электроснабжения, что, по имеющимся данным, не позволило властям Тонга получить предупреждение о цунами, посланное Тихоокеанским центром предупреждения о цунами (PTWC).	307
Четырнадцать школ на Гавайях, расположенных на побережье или вблизи него, были закрыты в среду, несмотря на отмену предупреждений.	144
Президент США Джордж Буш приветствовал это заявление.	61
Представитель Буша Гордон Джондро назвал обещание Северной Кореи "большим шагом на пути к цели по достижению поддающегося проверке ядерного разоружения Корейского полуострова".	193
Сегодня в Атлантическом океане сформировался субтропический циклон Джерри, это десятый получивший имя циклон в этом сезоне ураганов а Атлантике.	162
Согласно Национальному ураганному центру, на данный момент Джерри не представляет никакой угрозы на суше.	113
По оценке начальника Инженерных войск США, 6 дюймов дождевых осадков могли прорвать поврежденные ранее дамбы.	120
Девятый административный район, затопленный на 20 футов во время урагана Катрина, сейчас по пояс залит водой, поскольку дамба, находящаяся неподалеку, оказалась недостаточно высокой, чтобы удержать воду.	218
Вода выливается за плотину на отрезке шириной 100 футов.	57
Администратор Commons Адам Керден выразил своё разочарование в связи с удалениями в своем разговоре  в прошлом месяце с Wikinews.	126
"Он [Уэльс] по сути лгал нам с самого начала. Во-первых, действуя так, как будто это нужно было сделать по юридическим причинам. Во-вторых, делая вид, что слушает нас вплоть до своего удаления изображений."	225
Раздражение общественности привело к тому, что в настоящее время предпринимаются меры по разработке регламента относительно контента сексуального характера для данного сайта, на котором размещены миллионы медиаматериалов с открытой лицензией.	261
Проведенная работа была в основном теоретической, но программа была написана для имитации наблюдений галактики в Стрельце.	131
Эффект, который искала команда, может быть вызван приливными силами между тёмной материей галактики и тёмной материей Млечного Пути.	143
Так же, как Луна притягивает Землю, при этом вызывая приливы, так и Млечный Путь воздействует на галактику в Стрельце.	127
Ученые смогли сделать вывод, что темная материя воздействует на другую темную материю так же, как и в случае с обычной материей.	140
Согласно этой теории, значительная часть темной материи вокруг Галактики располагается в виде ореола и состоит из большого количества мелких частиц.	161
В репортажах по телевидению сообщается  о белом дыме, идущем от завода.	78
Местные власти предупреждают жителей, проживающих поблизости от станции, о необходимости оставаться в помещениях, выключить кондиционеры и не пить воду из-под крана.	183
Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.	99
Власти предполагают, что это указывает на возможную пробоину и утечку в находящихся на объекте контейнерах с урановым топливом.	143
В ходе исследований в южноафриканском регионе Квазулу-Натал доктору Тони Моллу (Tony Moll ) удалось обнаружить туберкулез с исключительно высокой устойчивостью к лекарствам (XDR-TB).	187
В интервью он сказал, что новый штамм "вызывает очень большие опасения, так как он приводит к очень высокому уровню смертности".	138
Некоторые пациенты могли заразиться в больнице, думает доктор Молл, и по крайней мере двое были работниками здравоохранения в больнице.	144
За один год инфицированный человек может заразить от 10 до 15 человек при близком контакте.	95
Однако, процент людей с туберкулёзом с множественной лекарственной устойчивостью в целой группе больных туберкулезом все еще кажется низким; 6000 от общего числа 330 000 зараженных в данный конкретный момент в ЮАР.	232
Спутники, каждый из которых был тяжелее 1 000 фунтов и перемещался со скоростью приблизительно 17 500 миль в час, столкнулись на высоте 491 мили над поверхностью Земли.	172
Учёные говорят, что взрыв, вызванный столкновением, был очень мощным.	78
Они по-прежнему стараются определить, насколько большим было столкновение и как пострадает Земля.	103
Стратегическое командование Министерства обороны США ведёт поиск обломков.	82
Результаты анализа графиков будут размещены на общедоступном сайте.	77
Обвинение в убийстве при отягчающих обстоятельствах будет предъявлено врачу, которая работала в Детской больнице Питтсбурга, Пенсильвания, после того как в среду ее мать нашли мертвой в багажнике ее автомобиля, сообщают власти Огайо.	257
Доктора Малар Баласубраманиан, 29 лет, нашли в Блю-Эше (штат Огайо), пригороде примерно в 15 милях к северу от Цинциннати. Он лежал на земле рядом с дорогой в футболке и нижнем белье и, по-видимому, в состоянии сильного наркотического опьянения.	257
Она отправила офицеров в свой чёрный Олдсмобиль Интрига, который находился в 500 футах.	96
Там они нашли тело 53-летнего Сароджи Баласубраманиана, покрытое окровавленными одеялами.	92
Полиция сказала, что тело, скорее всего, находилось там около дня.	72
О первых случаях заболевания в этом сезоне было сообщено в июле.	73
Переносчиками являются свиньи, от которых через комаров болезнь затем передаётся человеку.	99
Эта вспышка побудила индийское правительство принять такие меры, как установка ловушек для свиней в серьёзно пострадавших районах, раздача тысяч противомоскитных занавесок и распыление пестицидов.	214
Правительство также пообещало несколько миллионов ампул вакцины против энцефалита, которые помогут подготовить учреждения здравоохранения к следующему году.	170
Планы по доставке вакцин в исторически наиболее пострадавшие районы в этом году были отложены из-за недостатка средств и низкой приоритетности по сравнению с другими заболеваниями.	193
В 1956 году Сланя переехал в Швецию, где три года спустя начал работать на Шведскую почтовую компанию, и стал их главным гравировщиком.	145
Он создал более 1000 марок для Швеции и 28 других стран.	54
Его работы настолько известны своим качеством и детализацией, что он является одним из немногих "нарицательных имён" среди филателистов. Некоторые специализируются только на коллекционировании его работ.	224
Его великолепная тысячная марка 2000-го  года воспроизводит "Великие деяния шведских королей" Давида-Клёккера Эрнестраля, она внесена в книгу мировых рекордов Гиннеса.	177
Кроме того, он занимался гравюрным оттиском банкнот для многих стран. Недавние примеры его работ — портреты премьер-министра на лицевой стороне новых банкнот Канады номиналом 5 и 100 долларов.	194
После несчастного случая Гибсон был доставлен в больницу, но вскоре скончался.	84
64-летний водитель грузовика в аварии не пострадал.	52
Сам автомобиль убрали с места происшествия в тот же день примерно в 12:00 по Гринвичу.	87
Человек, работающий в гараже недалеко от того места, где произошла авария, сказал: "Там стояли дети, которые ждали, чтобы перейти дорогу. Все они кричали и плакали.	176
Все отбежали от места, в котором произошла авария.	55
Прочие вопросы в повестке дня на Бали включают в себя сохранение оставшихся в мире лесов и обмен технологиями, чтобы способствовать росту развивающихся стран с меньшими загрязняющими последствиями.	219
ООН также надеется завершить создание фонда помощи странам, страдающим от глобального потепления, для борьбы с его последствиями.	141
Эти деньги могут пойти на строительство домов, устойчивых к наводнениям, рациональное использование водных ресурсов и диверсификацию сельскохозяйственных культур.	176
Флюк написала, что попытки заставить женщин  молчать о женском здоровье были безуспешными.	99
Она пришла к такому выводу из-за многочисленных положительных комментариев и поддержки, полученных ею как от женщин, так и от мужчин, утверждающих, что противозачаточные средства следует рассматривать как медицинскую необходимость.	255
Когда драка прекратилась, после того как раненые были доставлены в больницу, еще около 40 заключенных остались во дворе и отказались возвращаться в свои камеры.	166
Переговорщики попытались исправить ситуацию, но требования заключённых не ясны.	90
Между 10:00 и 11:00 вечера по горному времени заключенные устроили пожар во дворе.	81
Вскоре надзиратели в защитном снаряжении прошли во двор и загнали заключенных в угол, применив слезоточивый газ.	126
В результате бригады пожарных потушили пожар к 23:35.	55
После строительства плотины в 1963 году сезонные паводки, распространявшие по реке отложения, прекратились.	107
Этот осадок требовался для формирования пляжей и песчаных отмелей, являвшихся местом обитания диких животных.	122
Это привело к тому, что два вида рыб вымерли, а два других, в том числе горбатый голавль, попали под угрозу исчезновения.	132
Несмотря на то, что после наводнения уровень воды поднимется только на несколько футов, власти надеются, что этого будет достаточно для восстановления размытых песчаных отмелей ниже по течению.	208
Предупреждений о цунами не было и, согласно сообщению от Джакартского геофизического агентства, не будет, так как магнитуда землетрясения не достигла 6,5 балла.	173
Несмотря на отсутствие угрозы цунами, жители начали паниковать и покидать помещения своих компаний и свои дома.	119
Хотя Уинфри была готова расплакаться во время прощания, она дала понять своим поклонникам, что вернется.	109
"Это не станет прощанием. Это закрытие одной главы и открытие новой."	70
По окончательным результатам президентских и парламентских выборов Намибии действующий президент Хификепунье Похамба был переизбран с большим перевесом.	172
Правящая партия Организация народов Юго‑Западной Африки (СВАПО) также сохранила большинство на парламентских выборах.	136
Коалиционные и афганские войска выдвинулись в район, чтобы обезопасить объект, и другой самолет коалиции был послан для оказания поддержки.	153
Падение произошло в высокогорье, и, как полагают, стало результатом вражеского огня.	92
Попытки провести поиск места крушения наталкиваются на плохие погодные условия и сложный рельеф.	102
Медицинская благотворительная организация Мангола, Врачи без границ и Всемирная организация здравоохранения заявили, что это сильнейшая вспышка в истории страны.	181
Представитель организации "Врачи без границ" Ричард Вирман сказал: "Ангола идёт к своей худшей вспышке за всё время, и ситуация в Анголе остаётся очень плохой".	182
Матчи начались в 10:00 при прекрасной погоде, и если не считать моросящий утренний дождь, который быстро прошёл, это был идеальный день для регби-7.	159
Фавориты турнира из Южной Африки начали с правильной ноты, когда одержали красивую победу со счетом 26-00 над Замбией, находящейся на 5-ой позиции.	157
Выглядя явно хуже в игре против своих южных сестер, ЮАР все-таки постепенно улучшила своё выступление по ходу турнира.	135
Их отличали дисциплинированная защита, мастерство владения мячом и превосходная командная работа, и было ясно, что обыграть эту команду непросто.	159
Официальные представители властей Амстердама и музея Анны Франк заявляют, что дерево заражено грибком и представляет общественную опасность, так как есть непосредственная угроза его падения.	206
Его планировали срубить во вторник, но постановлением чрезвычайного суда оно было сохранено.	100
Диаметр всех входов в пещеру, которые были названы "Семь сестёр", составляет не менее 100-250 метров (328-820 футов).	112
Согласно данным инфракрасных изображений разницы ночных и дневных температур говорят, что это скорее всего пещеры.	130
Днём они холоднее, чем окружающая поверхность, а ночью теплее.	73
Их термические характеристики не такие стабильные, как у больших пещер на Земле, которые часто поддерживают почти постоянную температуру, но они соответствуют тому, что является глубокими ямами в грунте, — сообщил Глен Кушинг из отдела планетной геологии Геологической службы США и Университета Северной Аризоны, расположенного во Флагстаффе, Аризона.	382
Во Франции голосование традиционно проводится низкотехнологичными методами: голосующий закрывается в кабинке и кладет заранее напечатанный лист бумаги, указывающий выбранного кандидата, в конверт.	215
После того, как должностные лица удостоверяют личность избирателя, он опускает конверт в урну для голосования и расписывается в списке избирателей.	160
Законы Франции о выборах довольно строго систематизируют процедуры.	74
Начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными, чтобы избиратели и наблюдатели могли убедиться в том, что в начале голосования внутри нет конвертов и что к ним не добавлены какие-либо другие конверты, кроме конвертов тех людей, которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом.	376
